,humidity,temp,clouds,wind_speed,longitude,latitude
Benguela,54,84.65,40,11.41,-99.24,30.3
Beringovskiy,88,82.4,90,10.29,54.1,17.01
Bethanien,83,77.29,90,13.87,-159.32,22.08
Bethel,93,66.63,90,6.93,-70.25,43.66
Beyneu,87,34.25,0,11.05,-56.15,72.79
Biella,88,76.42,75,9.17,138.93,34.7
Bilibino,92,52.61,89,1.59,145.57,43.32
Birao,45,61.79,0,4.65,25.0,-8.74
Blagoyevo,94,75.2,75,3.36,9.81,3.63
Bluff,80,82.67,99,11.68,73.07,6.62
Boa Vista,61,80.6,20,23.04,-90.35,-0.74
Boke,77,82.49,97,18.12,81.12,6.12
Bom Jesus,23,95.0,40,11.41,-103.85,25.82
Bonaventure,82,57.04,0,2.24,30.79,59.7
Bontang,53,75.76,40,17.22,-80.99,46.49
Bonthe,59,69.17,0,8.16,114.91,60.71
Borogontsy,93,42.8,100,2.24,-37.64,65.61
Borovoy,86,42.42,0,12.75,147.06,-42.78
Bowen,75,65.39,94,15.21,-28.7,38.52
Brae,67,62.6,75,4.7,38.73,8.96
Bredasdorp,69,79.0,75,18.34,139.53,35.74
Broome,82,61.0,81,5.99,26.89,-33.59
Buala,78,73.4,0,5.82,-42.02,-22.97
Buchanan,51,71.69,21,5.23,121.63,63.75
Buin,54,53.6,0,11.41,-67.58,-39.03
Bulaevo,57,66.47,78,4.43,-46.0,-20.63
Bulgan,17,86.23,5,14.99,-109.91,22.89
Businga,78,45.41,36,8.01,-53.46,-33.69
Busselton,50,55.87,88,10.29,21.48,65.32
Butaritari,88,77.05,75,5.82,140.83,35.73
Cabo San Lucas,89,39.47,100,16.93,-179.17,66.32
Cadillac,57,47.21,16,2.64,-50.22,-30.17
Calabozo,334,33.8,0,2.24,-69.19,-12.59
Camacari,81,69.53,99,2.44,101.72,26.59
Camacha,77,77.09,8,1.01,115.51,-2.54
Cape Town,97,41.09,100,14.92,156.12,50.68
Capitao Poco,88,77.99,95,4.38,74.49,15.34
Caravelas,84,89.6,20,6.93,56.27,26.96
Carmelo,78,78.8,0,8.05,-16.54,14.69
Carnarvon,100,53.6,90,2.24,104.13,36.55
Carora,39,60.01,0,5.99,170.5,-45.87
Castro,78,46.31,65,2.64,60.29,59.7
Champerico,99,38.75,100,8.39,-45.24,60.14
Chapais,61,78.93,40,1.25,22.43,39.42
Chara,41,53.15,0,8.97,102.47,71.98
Cherdyn,75,52.25,100,17.45,114.09,71.97
Cherskiy,25,95.99,3,5.01,74.08,29.49
Chicama,86,63.77,100,11.59,81.5,58.71
Chifeng,77,83.39,83,13.22,172.79,3.07
Chokurdakh,68,36.23,13,3.49,-69.36,77.48
Chuy,45,86.05,1,8.05,-74.98,39.31
Cidreira,58,84.2,20,13.87,-76.31,3.23
Ciego de Avila,84,58.91,74,9.64,-70.2,-22.09
Clyde River,83,44.33,63,13.0,-15.21,64.25
Cockburn Town,24,84.42,1,5.82,-94.76,39.95
Codrington,62,84.02,1,5.82,-91.2,40.33
College,98,71.33,100,2.42,7.07,5.43
Comodoro Rivadavia,87,46.4,75,23.04,23.68,70.66
Conde,50,72.59,28,2.82,108.01,61.28
Constitucion,91,59.09,18,3.65,37.39,11.59
Coquimbo,83,79.97,97,16.44,-52.96,5.38
Corrales,82,74.21,61,5.7,-39.27,-17.73
Dalianwan,84,40.73,86,5.28,63.78,67.55
Dandong,77,66.24,90,3.36,-70.21,44.1
Darnah,30,68.13,16,5.82,-76.2,-13.71
Dehloran,89,46.13,33,4.74,67.89,55.06
Demba,93,41.31,40,2.24,147.14,-41.43
Demmin,81,48.69,38,14.99,14.64,63.18
Diamantino,55,58.37,0,16.89,138.6,-33.21
Dijkot,36,87.35,42,10.04,26.69,13.6
Dikson,77,70.07,1,4.7,-70.08,41.69
Dingle,52,90.72,0,3.36,51.53,25.29
Doha,67,64.11,1,9.17,-151.26,60.55
Duki,88,82.04,40,6.58,-71.08,19.55
Dunedin,63,82.31,100,10.36,79.41,10.77
East London,100,55.04,75,8.05,152.14,-32.72
Egvekinot,37,70.43,63,5.46,77.24,38.42
Emba,83,61.79,18,6.89,-71.34,-17.65
Encheng,77,80.51,0,16.91,-139.03,-9.8
Erzin,84,49.01,21,2.21,103.29,50.38
Esperance,87,51.8,90,9.17,-1.35,60.4
Evensk,53,65.93,71,20.87,97.04,40.29
Eyl,8,98.15,1,11.25,-3.98,22.68
Faanui,20,75.38,75,4.7,-147.8,64.86
Fairbanks,98,72.23,100,1.83,-54.38,4.27
Fare,39,68.09,3,10.6,128.87,71.64
Faya,42,55.31,4,1.92,22.19,-19.66
Filadelfia,63,80.15,100,2.37,134.08,-0.87
Florianopolis,82,81.59,52,9.06,-74.26,18.56
Formosa,76,73.85,0,16.78,39.64,-0.46
Fortuna,46,91.0,49,18.01,-99.65,37.17
Fukue,70,44.6,0,1.9,-52.1,-32.03
Gamba,47,85.73,90,8.03,10.45,12.88
Garissa,98,48.47,100,11.14,-170.99,65.58
Garowe,91,70.07,51,3.42,49.05,-13.19
Gat,33,66.29,22,11.12,161.3,68.75
Gawler,47,75.11,0,7.23,55.19,45.32
General Roca,46,53.6,40,4.7,-135.01,68.22
George Town,72,60.8,75,11.41,-70.14,-20.22
Georgetown,87,69.53,90,10.45,-86.92,14.68
Geraldton,100,58.24,75,9.48,153.24,-28.95
Gimbi,62,68.09,100,2.21,100.22,64.27
Goderich,48,76.55,100,1.5,44.32,15.17
Gondanglegi,64,71.6,40,10.29,-80.61,51.26
Grafton,44,81.39,20,13.87,-79.87,43.26
Grand-Santi,94,72.63,75,13.87,57.7,-20.41
Grindavik,74,80.29,0,10.29,-38.6,-3.71
Guanica,61,48.83,54,1.54,52.89,63.23
Guder,39,73.13,0,3.91,131.17,62.67
Guerrero Negro,85,74.39,0,22.53,-24.5,14.9
Half Moon Bay,72,38.39,86,10.16,-67.52,-46.43
Hambantota,73,71.51,0,12.75,120.26,-9.65
Hamilton,82,35.87,59,13.38,178.42,69.38
Hammerfest,84,69.17,66,16.02,13.4,-12.58
Hanyang,51,72.41,0,4.05,125.37,41.26
Harlingen,100,59.0,37,3.36,136.42,-13.85
Harper,61,78.93,40,1.25,22.34,39.45
Harwich,62,51.8,0,2.24,15.16,-26.65
Hasaki,96,66.11,79,0.6,15.95,5.69
Havoysund,59,33.8,16,5.82,133.88,-23.7
Hay River,100,74.39,75,23.04,131.14,34.35
Hearst,81,78.35,0,18.23,22.64,32.77
Hermanus,74,83.75,98,9.66,124.87,12.54
Hilo,93,51.01,5,5.01,173.78,-35.1
Hirado,82,64.4,90,11.41,-74.86,49.78
Hirara,34,86.09,22,14.07,-14.96,16.65
Hithadhoo,86,78.35,44,3.94,117.47,0.12
Hobart,80,76.19,100,13.33,110.28,-7.95
Hobyo,62,51.17,80,2.77,47.92,63.37
Hofn,83,71.6,20,4.7,43.28,-11.38
Hohhot,89,74.93,100,7.34,6.79,4.71
Huamachuco,95,43.97,51,4.76,38.38,59.86
Huanren,67,60.8,90,3.36,-97.86,55.74
Huarmey,60,63.05,100,4.18,120.88,53.86
Huilong,94,78.42,75,13.0,115.24,5.28
Huntly,100,73.22,75,25.28,134.5,33.93
Ilo,41,59.0,40,8.05,-126.83,65.28
Ilulissat,82,62.6,90,8.05,-65.49,48.04
Imbituba,69,76.93,20,4.7,25.28,36.73
Ios,82,64.49,100,13.0,-114.04,27.97
Iquique,87,55.4,90,14.99,121.89,-33.86
Itamaraca,99,58.91,100,1.61,135.83,46.45
Itoman,78,80.51,100,7.76,-55.87,-1.77
Itupiranga,93,62.6,0,6.71,76.93,52.04
Ixtapa,57,50.95,0,6.93,-58.28,-34.0
Jackville,87,57.58,75,9.17,153.1,-30.38
Jamestown,68,64.4,40,6.93,-127.42,50.7
Joao Camara,87,77.09,100,2.3,-57.72,-3.38
Kaeo,83,67.69,20,3.36,24.92,42.1
Kahului,94,72.9,0,6.93,32.42,34.81
Kaitangata,80,41.0,40,14.99,-68.59,70.47
Kamina,93,48.2,100,6.93,-46.05,60.91
Kampene,51,83.82,1,4.7,-76.42,40.34
Kapaa,95,72.77,63,2.48,104.98,-5.36
Kapit,41,57.2,0,2.24,19.77,-17.91
Kargasok,35,92.03,86,15.61,-10.83,13.81
Karratha,83,79.75,40,4.7,36.2,36.95
Kasongo,80,51.01,92,21.18,167.69,-46.13
Katsuura,51,77.56,20,11.41,-155.08,19.71
Kavieng,57,70.97,2,2.44,-44.36,-9.08
Kenai,83,71.51,6,1.19,-73.0,-12.12
Khatanga,83,80.01,75,15.99,-39.27,-3.8
Khromtau,37,69.35,33,5.1,150.17,59.7
Kidal,65,50.0,0,4.0,169.85,-46.28
Kieta,33,68.27,64,10.22,151.67,62.26
Kirakira,60,74.75,40,19.46,-84.12,9.79
Kiri Buru,82,63.88,90,11.41,-66.12,43.84
Kirillov,78,72.37,75,4.7,-2.93,35.17
Kitaibaraki,82,80.15,100,7.72,122.67,11.0
Klaksvik,59,54.59,0,6.04,-60.04,-22.35
Kochevo,52,83.39,97,11.1,115.67,36.24
Kodiak,25,88.25,59,14.63,14.43,27.03
Komsomolskiy,52,52.84,0,9.17,-57.95,-34.92
Kruisfontein,17,74.34,0,3.36,42.45,18.39
Kualakapuas,82,63.84,90,14.99,-161.76,60.79
Kudahuvadhoo,83,74.03,71,2.75,109.56,28.08
Kulhudhuffushi,59,76.35,19,11.01,-81.71,43.74
Kuliyapitiya,74,88.77,40,5.82,-98.16,26.19
Kulykivka,73,77.0,43,4.7,-159.78,-21.21
Kutum,66,84.99,49,5.99,-62.41,8.02
La Plata,88,69.8,0,5.82,13.24,-8.83
La Serena,83,78.8,0,9.17,-16.5,16.03
Labuhan,94,73.49,99,4.52,-7.36,4.42
Lagoa,88,77.0,20,5.82,-35.82,-5.54
Lahijan,61,82.4,0,2.24,-49.33,-5.13
Langham,58,57.52,0,10.29,138.75,-34.6
Langsa,46,69.62,75,3.36,-135.06,60.72
Launceston,63,62.6,75,6.93,-115.79,60.82
Lavrentiya,86,66.65,98,3.42,97.97,4.47
Lazaro Cardenas,82,61.92,90,10.29,-68.8,47.61
Lebanon,81,81.95,75,6.55,120.99,15.79
Lebu,17,86.0,0,6.93,58.52,37.89
Leningradskiy,93,48.2,19,12.03,-6.59,62.23
Leninskoye,93,54.23,25,2.82,37.79,8.81
Lensk,83,76.55,13,3.0,-67.43,8.92
Lewiston,62,74.03,27,1.5,-56.44,-14.4
Lima,94,75.2,0,4.7,-34.81,-7.47
Linxia,62,78.39,0,6.93,-0.6,45.6
Lompoc,94,77.0,75,14.74,-10.8,6.33
Longyearbyen,56,72.77,57,7.11,-83.67,49.69
Lorengau,51,71.33,83,2.71,96.39,61.68
Lourosa,79,52.79,22,4.12,58.44,50.26
Luanda,88,75.2,20,5.82,-34.83,-7.75
Luderitz,77,64.71,40,15.57,-27.07,38.73
Ludvika,80,72.23,35,3.8,22.78,10.3
Luleburgaz,70,42.8,40,14.99,15.63,78.22
Mahebourg,99,57.11,100,1.72,-51.76,-24.76
Mahina,39,77.97,40,12.75,-85.4,44.25
Malazgirt,82,60.8,0,11.18,82.85,54.82
Maldonado,70,83.93,60,6.69,155.63,-6.22
Maniitsoq,98,57.65,100,4.38,80.87,59.06
Manokwari,53,51.8,40,24.16,-67.48,-45.87
Mansoa,72,83.21,55,5.99,72.93,0.53
Manuk Mangkaw,54,53.33,0,5.57,24.43,-11.73
Mao,58,59.09,59,13.56,27.91,-33.02
Mapimi,50,65.21,0,2.75,-47.33,-15.55
Mar del Plata,77,64.4,20,14.99,-25.43,37.72
Maragogi,46,64.13,40,10.29,-124.16,40.6
Marasu,98,68.81,99,3.42,8.4,9.67
Marawi,96,73.31,40,4.43,-47.06,-1.75
Mareeba,49,69.89,79,1.25,22.27,-5.47
Margate,94,79.0,75,6.93,127.67,26.12
Masindi,34,85.37,41,6.22,1.41,18.44
Matagami,65,78.35,77,29.1,49.82,7.98
Mataura,74,72.41,58,3.36,-56.85,-14.45
Maturin,64,75.69,0,16.11,12.74,51.37
Maues,95,73.13,63,3.65,-1.75,4.89
Mayumba,99,65.39,97,3.6,31.9,54.43
Mbandaka,73,78.69,0,2.24,121.69,39.03
Mehamn,79,81.59,82,8.12,98.78,1.74
Meulaboh,83,78.17,5,4.68,114.39,-3.01
Mitsamiouli,72,65.17,0,6.93,-8.45,37.14
Monrovia,68,70.59,1,12.75,-121.92,36.62
Montlucon,100,77.23,75,2.24,121.49,31.41
Moose Factory,87,56.98,52,9.17,14.51,-22.95
Moron,14,70.79,0,10.78,60.78,34.74
Mount Gambier,72,82.49,90,2.04,72.89,2.67
Mount Isa,81,81.77,51,15.9,-71.14,21.46
Mountain Home,100,50.74,90,16.11,-22.43,63.84
Mulege,37,69.39,1,6.93,-123.21,39.15
Muli,81,67.91,97,1.23,37.68,-3.4
Muros,67,57.2,75,8.05,-48.67,-28.24
Mwinilunga,88,81.3,75,4.7,121.05,14.36
Nador,57,44.6,0,6.71,88.39,69.49
Nagato,17,100.4,0,9.17,32.9,24.09
Namibe,88,75.85,75,10.29,136.69,35.03
Nanortalik,66,85.53,75,20.8,-105.21,20.71
Nantucket,87,46.4,75,23.04,24.66,71.0
Narsaq,100,40.37,100,4.85,-49.67,61.99
Naze,44,74.61,20,12.75,-80.2,44.08
Neiafu,100,62.67,90,4.7,148.25,-20.01
Nelson Bay,51,60.8,0,6.71,40.04,48.03
Nemuro,65,69.17,100,2.46,33.8,-3.17
Neryungri,60,70.65,0,2.55,-43.81,-20.25
New Norfolk,83,67.75,0,4.7,27.9,43.22
Nexo,65,78.55,0,3.36,6.97,43.56
Nguru,89,75.65,95,3.44,-56.49,-2.1
Nhulunbuy,87,56.39,90,12.75,-0.88,51.94
Nidamangalam,96,72.59,100,6.13,8.57,7.38
Nikolskoye,93,53.6,83,4.7,118.58,-20.31
Nishihara,16,84.58,40,13.87,-115.69,43.13
Nokaneng,55,66.47,2,4.68,104.12,56.58
Norman Wells,73,75.2,0,8.95,51.16,43.65
Notre-Dame-du-Lac,79,45.7,0,1.21,171.19,-44.53
Nyurba,85,79.61,100,4.43,85.35,22.08
Oktyabrskiy,100,57.18,26,6.93,152.93,-29.69
Oriximina,90,77.45,100,7.05,-12.5,7.53
Orotukan,63,54.05,99,5.93,166.1,60.47
Ossora,35,92.03,86,15.61,-10.85,13.76
Ostersund,81,54.23,0,3.36,-2.79,57.44
Ostrovnoy,69,75.11,84,3.87,-51.99,-6.64
Paamiut,53,62.33,41,5.64,158.67,57.8
Pacific Grove,73,80.51,1,6.55,-151.75,-16.48
Padilla,51,62.87,99,6.02,124.71,52.34
Pahrump,94,77.0,90,2.24,126.09,6.84
Pandan,85,50.45,0,3.31,-70.49,-25.41
Pangnirtung,69,72.88,0,5.82,13.53,48.64
Pangoa,71,84.47,74,7.81,159.59,-8.15
Panzhihua,40,66.65,50,1.99,130.41,67.8
Parabel,79,83.21,90,6.35,147.27,-2.02
Pentecoste,87,55.69,47,9.17,1.45,52.47
Petropavlovsk-Kamchatskiy,86,76.73,48,2.55,-14.28,10.95
Petukhovo,13,85.55,1,23.04,-110.03,34.25
Pevek,88,72.66,90,9.33,138.43,38.08
Pilibanga,90,76.73,96,1.81,101.62,6.7
Pilot Butte,93,70.61,47,0.18,20.89,3.34
Pisco,11,91.4,0,4.7,56.92,33.6
Pitanga,85,33.89,10,15.05,170.27,69.7
Pitea,69,82.4,75,9.17,-60.67,2.82
Pitimbu,53,68.09,91,2.84,116.85,-20.74
Podor,55,66.11,98,0.63,124.71,56.66
Ponca City,66,84.2,75,21.92,-93.6,16.38
Ponta do Sol,74,82.4,20,17.22,-59.52,13.22
Pontes e Lacerda,82,64.67,75,2.39,-6.41,43.34
Port Alfred,22,49.55,0,7.05,17.16,-26.5
Port Blair,78,68.59,75,14.99,145.42,-16.99
Port Elizabeth,74,79.25,95,1.66,116.63,30.59
Port Hardy,87,46.4,40,2.24,59.15,53.14
Port Hedland,94,73.15,20,11.41,27.36,41.4
Port Lincoln,61,76.01,26,15.88,40.07,1.75
Port Macquarie,88,80.6,40,4.7,-65.16,-2.98
Port-Gentil,40,73.4,40,8.05,-106.96,52.36
Portland,78,82.67,100,15.97,122.09,11.72
Poum,98,49.73,100,3.24,103.21,35.6
Praia,88,77.0,20,5.82,-35.46,-5.2
Praia da Vitoria,93,46.4,90,11.41,-73.83,-41.87
Presidencia Roque Saenz Pena,76,59.38,0,9.17,-71.34,-29.95
Pringsewu,88,53.15,20,5.93,24.73,-34.0
Provideniya,37,81.95,0,2.64,68.58,30.15
Provost,81,65.21,100,13.76,12.15,-15.19
Puerto Ayora,94,69.53,24,2.46,23.94,51.37
Puerto Cabezas,65,78.8,40,6.93,-38.32,-12.7
Puerto Escondido,86,30.2,40,13.87,-69.22,-51.62
Puerto Maldonado,41,90.95,54,13.53,6.28,15.46
Punta Arenas,57,73.31,26,1.88,26.67,-4.43
Qaanaaq,70,86.0,20,3.36,-97.07,15.86
Qaqortoq,73,76.15,0,8.05,8.32,40.56
Qeshm,29,67.55,50,18.68,150.89,65.73
Quatre Cocos,53,48.76,40,1.57,-70.74,-33.73
Quezada,68,77.27,55,24.05,48.53,5.35
Rawson,93,45.77,27,0.34,-78.05,-7.82
Ribeira Grande,12,97.25,4,15.48,-13.05,20.52
Rikitea,66,84.09,75,11.41,-149.15,-17.73
Rio Gallegos,44,70.11,0,8.05,-48.01,-16.02
Rio Grande,97,56.21,100,2.35,105.15,54.81
Road Town,82,58.01,90,10.29,5.41,53.18
Roald,70,87.8,0,6.93,68.14,26.04
Roswell,61,60.53,31,30.89,135.86,-34.72
Rudnichnyy,82,70.43,89,0.81,26.67,-3.59
Rundu,58,56.93,0,10.29,138.62,-35.55
Ryotsu,52,85.55,94,9.73,-111.98,26.88
Sabha,93,72.23,94,3.74,18.26,0.05
Sai Buri,83,82.4,75,13.87,125.28,24.8
Saint Andrews,94,43.25,2,7.52,70.44,54.91
Saint Anthony,100,75.63,75,11.41,129.49,33.32
Saint George,84,78.71,65,2.98,107.09,22.74
Saint-Augustin,60,70.66,40,11.41,-117.27,32.99
Saint-Joseph,96,56.21,0,1.66,-7.35,40.36
Saint-Louis,93,77.0,100,5.01,124.29,8.0
Saint-Philippe,72,63.21,75,21.92,13.03,53.91
Sainte-Thecle,74,78.8,20,4.7,50.0,37.21
Sal Rei,79,49.55,61,8.03,103.53,48.81
Salalah,28,79.02,1,6.93,-111.68,43.97
Saldanha,93,54.23,25,2.82,37.77,8.97
Salitral,88,64.4,34,17.22,15.13,55.06
Salta,94,77.0,75,8.05,-4.42,5.21
Sambava,90,64.83,0,3.27,-8.8,37.31
Sampit,60,73.31,55,4.54,-70.08,10.17
San Cristobal,85,65.39,1,14.67,-80.82,-5.56
San Isidro,15,93.2,75,6.93,-105.62,28.39
San Jose,48,48.47,58,20.85,-65.11,-43.3
San Juan,63,65.32,20,11.41,-122.43,37.46
San Pedro,38,69.89,43,2.19,20.79,-6.42
San Quintin,50,73.31,0,9.75,123.37,66.77
San Roque,70,86.0,75,2.24,81.16,26.76
Sann,45,82.18,3,3.29,-73.36,41.14
Santa Maria,9,85.19,0,9.08,47.27,32.69
Sao Felix do Xingu,75,44.6,20,11.41,-51.1,69.22
Sao Filipe,79,84.2,40,8.05,80.04,7.47
Sao Joao da Barra,59,72.41,33,2.44,118.35,63.29
Sao Jose da Coroa Grande,63,67.37,93,1.19,31.9,-3.47
Sarangani,89,84.2,40,9.17,-83.39,14.04
Saskylakh,87,54.9,59,6.93,15.18,60.15
Sawtell,83,81.12,40,10.29,-66.91,17.97
Sayyan,72,83.21,99,1.21,161.92,-10.46
Sechura,54,78.8,20,20.8,-90.04,14.27
Senador Jose Porfirio,82,44.33,0,6.26,69.02,57.94
Senneterre,62,74.93,23,2.48,-56.08,-9.87
Sept-Iles,72,68.0,20,10.29,-16.33,33.08
Severo-Kurilsk,77,64.4,0,6.93,-77.04,-12.06
Shache,94,47.57,76,4.81,-72.84,5.83
Shediac,89,65.39,0,3.29,50.17,-14.27
Shelburne,84,72.41,85,9.66,112.01,-7.75
Shenxian,65,79.63,75,17.22,-156.47,20.89
Shimoda,93,63.86,20,1.12,-8.55,40.98
Shizunai,71,53.6,0,2.24,50.49,53.25
Show Low,82,63.59,100,2.35,-113.29,54.72
Sibolga,94,72.77,95,4.76,9.78,7.87
Silopi,46,61.25,33,20.47,159.24,61.92
Sinazongwe,100,78.8,75,8.05,105.98,9.6
Sinnamary,76,54.41,0,6.93,-5.93,54.6
Sitka,66,48.2,0,6.93,-54.96,-34.91
Skibbereen,50,72.23,8,2.89,102.28,60.35
Smidovich,100,50.95,75,2.24,-1.5,53.68
Sobolevo,23,68.09,27,15.23,146.19,68.54
Soc Trang,82,71.51,0,4.74,-63.18,9.75
Sola,95,69.71,100,0.65,23.78,2.74
Solana Beach,58,85.66,1,3.36,-82.53,33.19
Souillac,94,72.72,75,13.87,57.76,-20.21
Sudbury,78,72.99,0,3.36,11.58,49.94
Svetlogorsk,85,78.35,99,2.8,120.52,17.54
Tabas,60,47.21,0,6.17,-60.44,-26.79
Tabou,74,41.63,65,1.97,88.52,28.28
Tahe,93,56.19,90,8.05,-66.38,50.2
Takoradi,53,56.75,80,6.62,163.07,59.24
Talnakh,38,75.6,20,13.87,-104.42,50.48
Taltal,50,53.87,100,4.36,88.13,47.83
Taoudenni,73,84.11,89,8.41,150.8,-2.57
Tasiilaq,71,72.41,1,20.65,43.89,4.12
Tautira,70,45.23,9,3.29,56.48,60.4
Taveta,79,51.35,100,11.41,39.51,68.05
Taybad,18,94.03,1,13.87,-104.52,33.39
Terra Santa,82,66.61,0,12.75,0.71,49.65
Terrace,93,48.83,86,3.36,6.12,62.58
Terrassa,66,51.8,0,10.29,30.82,69.43
Thinadhoo,100,55.76,40,5.82,152.91,-31.43
Thompson,54,77.52,40,9.17,-72.5,46.82
Tigil,81,78.53,100,3.53,-51.95,-2.59
Tiksi,45,76.37,100,7.27,118.96,42.27
Tilichiki,82,62.29,90,9.17,-64.55,46.22
Tineo,95,71.87,81,4.12,-35.15,-8.9
Tocopilla,72,59.45,0,5.35,42.54,39.15
Torbay,69,79.11,0,5.82,8.05,45.57
Touros,67,52.93,75,8.05,-48.55,-27.6
Tshikapa,95,71.87,81,4.12,-35.22,-9.01
Tual,88,64.4,75,9.17,-79.15,-7.84
Tuatapere,56,79.43,57,28.68,48.48,8.41
Tuktoyaktuk,65,79.7,0,4.7,-0.58,47.5
Tura,98,70.25,100,1.95,75.97,12.97
Uarini,72,60.8,20,14.99,-9.27,51.55
Ukiah,98,45.23,100,2.06,101.77,36.62
Umm Kaddadah,93,63.41,92,1.54,31.72,1.69
Upata,93,56.86,40,3.15,37.97,55.61
Upernavik,94,80.33,75,5.75,100.33,5.42
Ushirombo,94,71.6,66,4.7,136.78,-12.18
Ushuaia,5,94.26,1,21.92,-115.98,36.21
Vagay,83,81.84,40,3.36,-64.62,18.42
Vaini,74,46.13,63,4.18,70.83,66.83
Vanavara,42,62.6,37,8.05,139.49,-20.73
Varna,90,67.01,12,4.81,-59.33,-15.23
Veraval,96,76.19,44,1.86,112.95,-2.54
Victor Harbor,88,62.6,75,4.47,111.65,40.81
Victoria,93,48.2,100,6.93,-46.03,60.72
Vila Franca do Campo,87,54.79,90,11.41,-2.22,52.19
Vila Velha,88,73.44,0,11.41,-2.56,47.55
Vilyuysk,81,83.93,100,20.09,92.75,11.67
Vostok,88,75.2,20,6.93,8.78,-0.72
Waingapu,78,57.11,100,17.34,133.81,48.6
Wajir,57,50.77,0,4.7,-65.41,-24.79
Wakefield,64,55.85,5,1.7,27.46,-17.26
Walvis Bay,96,67.37,100,11.12,31.65,51.37
Wanning,93,61.32,40,2.24,-9.06,42.77
Westport,87,73.99,100,3.78,105.51,32.14
Whitehorse,73,50.09,70,4.74,-52.9,65.42
Winslow,81,48.2,0,13.87,27.85,71.03
Worcester,80,73.67,21,8.55,10.65,-3.44
Wukari,53,74.39,68,2.73,124.37,40.12
Wurzen,52,90.03,1,10.29,-97.07,36.73
Xiaoshi,87,48.2,17,10.29,140.78,-37.83
Xining,7,96.8,0,8.05,-0.29,27.87
Xuddur,76,83.93,100,11.99,119.85,4.8
Yaan,20,75.51,75,4.7,-147.72,64.84
Yar-Sale,75,78.71,0,10.85,-78.76,21.84
Yarmouth,42,81.45,40,8.05,-83.89,43.59
Yatou,73,80.33,0,6.64,-151.02,-16.7
Yellowknife,65,75.7,75,5.82,-73.98,45.63
Yerbogachen,83,77.0,40,5.82,-173.98,-18.65
Yumen,50,75.2,75,6.93,-77.24,48.39
Zakamensk,80,70.29,0,2.28,2.6,46.33
